dataset,category,question,answer_only,answer_conf,explanation,self_reported_confidence,mean_chosen_token_prob,mean_logit_margin,gold_answer,gold_explanation,is_correct,notes
CoSE,,Where are leaves best left?,On trees.,On trees,Leaves are best left on trees as they are designed to photosynthesize and provide nutrients to the tree. Removing leaves can harm the tree and reduce its ability to produce food.,0.95,0.8061697240318021,4.562031776674332,trees,tree - wikipedia,TRUE,Exact match on trees
CoSE,,"The mom liked giving assistance to her children, why did she do it?",Because she was a kind and loving mother who wanted to help her children succeed.,The mom liked giving assistance to her children because she wanted to help them and show that she cares about them.,The mom likely felt a sense of fulfillment and joy from helping her children. She may have also seen it as a way to strengthen her relationship with them and demonstrate her love and support.,0.95,0.801653162,4.450790019,feel loved,loved by the people who really love,FALSE,Model says kind/loving; gold is feel loved
CoSE,,"The tourists sought out red telephone boxes, where do they look?","They look in London, England.",red telephone boxes,"The tourists sought out red telephone boxes, where do they look?",0.99,0.8213960724217552,5.013593128749302,london,shop - b london boutique,TRUE,London mentioned; correct
CoSE,,"A person wants to lose mass,what steps do the take?",They follow a healthy diet and exercise regularly.,Exercise and eat a healthy diet,Regular physical activity and consuming nutritious food can help a person lose mass.,0.95,0.7307982977400435,3.863031711984188,get fitter,"t may seem daunting, but the pay",FALSE,Model says diet and exercise; gold is get fitter
CoSE,,What might someone be trying to achieve by getting wet?,"Someone might be trying to cool off, clean themselves, or experience a sense of freedom.",cooling off,Getting wet can help regulate body temperature and provide a refreshing sensation.,0.9,0.7981282409868742,5.010770847922878,cool off,become quiet or calm,TRUE,Cool off mentioned; matches gold
CoSE,,A garage is a type of what?,A garage is a type of building.,carport,A garage is a type of carport.,0.95,0.8308570941289266,5.391434415181478,building,"a building, or edifice",TRUE,Building matches gold answer
CoSE,,What is another way to say someone is a failure?,Someone who did not achieve their goals or expectations.,unsuccessful,The word 'unsuccessful' is a synonym for 'failure'.,0.99,0.800030603,4.744073258505927,amount to nothing,saying someone amounts to nothing means they've failed to accomplish anything and conveys the same thing.,FALSE,Model gives definition; gold is amount to nothing
CoSE,,The weasel hit the jackpot when he discover the maze of burrows that made up what?,The weasel hit the jackpot when he discovered the maze of burrows that made up a rabbit warren.,a rabbit hole,The weasel hit the jackpot when he discovered the maze of burrows that made up what? The answer is a rabbit hole.,0.99,0.8466301794195997,5.6850423648439605,rabbit warren,this word is most relavant,TRUE,Rabbit warren mentioned; correct
CoSE,,"He was excitedly making bread with his sourdough starter, he watched intently as it began to rise inside the where?",oven,oven,The sourdough starter was rising inside the oven.,0.95,0.8260006147461969,5.335590904,oven,rivers flow trough valleys.,TRUE,Exact match on oven
CoSE,,What past time are people engaged in when they are traveling along liquid?,People are traveling along liquid when they are engaged in boating or sailing.,past time,People are traveling along liquid in the past time.,0.9,0.719847048,4.105250050944667,sail boats,sailboat - wikipedia,TRUE,Sailing aligns with sail boats
CoSE,,She always wanted to live in a brick row house in what foggy country?,San Francisco,San Francisco,"The foggy city in California, USA",0.95,0.7291245696873501,4.472787561087773,england,a england - home,FALSE,Model says San Francisco; gold is England
CoSE,,"On their hike they brought a filtering straw, they were worried about germs in the what?",Water,water,"On their hike they brought a filtering straw, they were worried about germs in the water.",0.99,0.903693503,6.898010998237424,water,straw it something used to drink water,TRUE,Exact match on water
CoSE,,What is the main goal of work outside of the home?,The main goal of work outside of the home is to provide financial support and resources for the individual and their family.,The main goal of work outside of the home is to earn a living and contribute to the economy.,Work outside of the home is primarily focused on generating income and providing goods and services to society. This helps individuals and families meet their financial needs and supports the overall functioning of the economy.,0.95,0.8101823631870119,4.362449871866327,earn money,working usually means youre making money,TRUE,Financial support aligns with earn money
CoSE,,When you fight inflation you expect to see what at stores?,Lower prices.,lower prices,When you fight inflation you expect to see lower prices at stores.,0.95,0.8278213073225582,5.573696192573099,lower prices,raise or lower prices is a tough,TRUE,Exact match on lower prices
CoSE,,Jim stopped talking phone calls because he didn't want to talk with his family. It was too painful and he felt too much what?,He felt overwhelmed and sad.,sad,Jim stopped talking phone calls because he didn't want to talk with his family. It was too painful and he felt too much sad.,0.99,0.8983541302106999,6.831263877727367,regret,regret is one of the most painful emotions.,FALSE,Model says overwhelmed/sad; gold is regret
CoSE,,"A small dog is lost in Copenhagen, what is the dogs likely nationality?",The dog's likely nationality is not specified.,Denmark,The dog is most likely Danish since it is lost in Copenhagen,0.95,0.803820252,5.5493540119480445,denmark,copenhagen is found within denmark.,FALSE,Model avoids answer; gold is Denmark (Great Dane)
CoSE,,"He needed to provide, so he was always working, what did he want to accomplish?",He wanted to provide for his family.,He wanted to accomplish providing.,"He needed to provide, so he was always working, what did he want to accomplish?",0.99,0.7753089859404347,4.904148210178722,earning money,"he needed to provide, so he was always working, he needed to provide, so he was always working, what did he want to accomplish? did he want to accomplish?",FALSE,Providing for family differs from earning money
CoSE,,In American it is possible for someone to grow up poor and end up what?,Rich,successful,"In America, anyone can achieve success regardless of their background. This is a common belief in the country.",0.95,0.7068523070434245,3.805712909,rich,american peoples are a rich.,TRUE,Exact match on rich
CoSE,,What does someone feel when they lose playing soccer?,Disappointment.,sadness,Losing playing soccer can cause feelings of sadness because it is a competitive game and people enjoy the challenge and social aspect of playing with friends.,0.9,0.7091242009401322,3.743437690734863,anger,anger is an emotion characterized,FALSE,Model says disappointment; gold is anger
CoSE,,Where would a sofabed be used only for guests?,In a guest room.,sofabed,A sofabed is typically used for guests in a home or hotel room.,0.99,0.7244559063723213,4.294772072842247,spare room,spareroom for flatshare,TRUE,Guest room and spare room are equivalent
CoSE,,Where can I find a bowl of whipped cream?,At the grocery store in the dairy aisle.,You can find a bowl of whipped cream at the grocery store in the dairy aisle.,Whipped cream is a common ingredient in many desserts and can be found in most grocery stores in the dairy aisle. It is usually located near the ice cream and other frozen treats.,0.95,0.855878809,5.586214065551758,refrigerator,whipped cream needs to be stored in a chilled place so it doesn't spoil,FALSE,Model says grocery store; gold is refrigerator
CoSE,,"A gentleman is very wealthy and flaunts it, where does he likely live?",In a mansion or a luxurious home in an affluent area.,Monaco,The gentleman is likely living in Monaco because it is a known tax haven for the wealthy and has a reputation for being a luxurious and glamorous location.,0.9,0.7821272307971738,4.325034933270149,big house,a typical wealthy man will own a large house.,TRUE,Mansion aligns with big house
CoSE,,"The man enjoyed sitting quietly by himself, he felt it helped him come up with his best what about things?",The man found solitude helpful in generating creative ideas.,meditate,"The man enjoyed sitting quietly by himself, he felt it helped him come up with his best what about things?",0.95,0.8627249615830045,6.401180200798567,insights,it is the only one that is not a feeling and you dont come up with feelings.,FALSE,Creative ideas is broad; gold is insights
CoSE,,"Ben was an alcoholic and was in an accident.  Because of his mistake, he spent 8 years somewhere. Where was he?",In prison.,jail,"Ben was an alcoholic and was in an accident.  Because of his mistake, he spent 8 years somewhere. Where was he?",0.99,0.8651780246032609,5.9614264346935135,prison,ben was caught in a drunk and drive case.,TRUE,Exact match on prison
CoSE,,Where might you use a bus to get around?,You might use a bus to get around in a city or town where public transportation is available.,,,,0.8332424735029539,4.6998529513676965,city,but if you intend to use the mrt.,FALSE,No answer provided
CoSE,,What type of closet are canned goods likely to be in?,A pantry closet.,pantry,"Canned goods are typically stored in a pantry, which is a designated area in a kitchen or dining room for food storage.",0.95,0.8516320665466025,4.935412508376102,pantry,"getting those canned foods organized can save you a lot of frustration, time, and money",TRUE,Pantry closet matches pantry
CoSE,,"She was contemplating which make-up to where, what prompted her to think about this?",She was getting ready for a date.,She was thinking about which make-up to wear.,The context suggests that she is getting ready for something and is considering her appearance. The use of the word 'contemplating' implies that she is deep in thought and is deliberating her choices.,0.95,0.8031342158446441,4.706867991267024,reflection,"she was contemplating which make-up to where, reflection.",FALSE,Model says getting ready; gold is reflection
CoSE,,The Coast Guard is a police force that often does what?,"The Coast Guard is a police force that often does what is necessary to protect the coastline, enforce maritime laws, and save lives at sea.",enforce maritime law,"The Coast Guard is a law enforcement agency that is responsible for enforcing maritime law, including regulations related to navigation, safety, and pollution.",0.99,0.7836284389098486,4.757637288835314,board vessels,life threatening accidents,FALSE,Model gives general description; gold is board vessels
CoSE,,WHat causes a kid to cry when riding a bike?,Fear of falling or losing balance.,Fear of falling,Kids may cry when riding a bike due to fear of falling and losing balance.,0.9,0.7968783447375665,4.762905463194236,falling off,falling of from bike riding kids cry,TRUE,Fear of falling aligns with falling off
CoSE,,"China transports lots of cargo, one way is by sea in a very large what?",Ship,ship,"China transports lots of cargo, one way is by sea in a very large ship.",1,0.8361639518004197,5.228299416028536,boat,china transports lots of cargo boat,TRUE,Ship and boat are semantically equivalent
CoSE,,Too much jogging for elderly people can lead to what?,Joint pain and injury.,heart problems,Heart problems can occur due to increased stress on the heart muscle from excessive jogging.,0.95,0.731700002,4.266957185207269,heart attacks,health complications,FALSE,Model says joint pain; gold is heart attacks
CoSE,,Where do homeless people go to ty to move around?,Homeless people do not have a permanent place to stay and often move around from place to place.,They don't have a place to go.,"Homeless people often lack stable housing and may rely on shelters, public spaces, or temporary accommodations.",0.99,0.727103921,4.120347079108743,bus depot,bus depot homeless people go to ty to move around,FALSE,Model gives general answer; gold is bus depot
CoSE,,What is a place that sells suntan lotion but not food or medicine?,A drugstore,Walgreens,"Walgreens is a retail store that sells a variety of products, including suntan lotion, but not food or medicine.",0.95,0.843021588,5.488787078857422,shop,shops have non medicinal stuff,FALSE,Drugstore is more specific; gold is shop
CoSE,,Joe wanted to know the truth because he was an academic and south to learn as much as possible.  He would do anything in pursuit of what?,Knowledge.,knowledge,Joe wanted to know the truth because he was an academic and south to learn as much as possible. He would do anything in pursuit of what?,99,0.905558632,6.344651258216714,further knowledge,"an academic is required to do a lot of research and study which in turn, furthers their knowledge.",TRUE,Knowledge matches further knowledge
CoSE,,"Instead of buying brand new pens, what part can you replace to keep using them?",You can replace the ink cartridge to keep using them.,Replace the ink,"Instead of buying brand new pens, you can replace the ink to keep using them.",0.9,0.8504616159659165,5.592263686351287,ink cartridges,hp original ink cartridges,TRUE,Ink cartridge matches ink cartridges
CoSE,,Where are seats often plush?,Seats in luxury vehicles or high-end theaters are often plush.,Theaters,Seats in theaters are often plush to provide comfort for moviegoers during long screenings.,0.95,0.8186249442043758,4.929227193196614,opera,opera browser open,FALSE,Model says theaters; gold is opera
CoSE,,Where might there be lots of different lawns?,In a suburban neighborhood.,suburbs,Suburbs often have large areas of lawns.,0.9,0.8067666692659259,4.913609504699707,north america,where might there be lots of different north america,FALSE,Model says suburban neighborhood; gold is North America
CoSE,,Where do you typically find a lizard generally?,"Lizards are typically found in areas with warm temperatures, such as forests, deserts, and grasslands.",outdoors,"Lizards are typically found outdoors in various environments such as forests, deserts, and grasslands.",0.9,0.8438852106531461,5.459891523633685,great outdoors,great outdoors - home | facebook - dublin,TRUE,Natural areas aligns with great outdoors
CoSE,,Fabric is cut to order at what type of seller?,Fabric is cut to order at a fabric store.,fabric store,Fabric is cut to order at a fabric store.,0.95,0.8385534996495527,5.280130863189697,tailor shop,tailors for ladies,FALSE,Model says fabric store; gold is tailor shop
CoSE,,Where could a star be walking?,In space.,The sky,Stars are celestial objects and do not walk on Earth.,0.95,0.7762019945042474,5.004977362496512,press conference,stars hosts press conferences,FALSE,Model interprets literally; gold means celebrity
CoSE,,Where can a person buy clothing and appliances?,"A person can buy clothing and appliances at a department store, a clothing store, an appliance store, or online through various retail websites.","Clothing and appliances can be bought at department stores, clothing boutiques, appliance stores, and online retailers such as Amazon.","Department stores, clothing boutiques, appliance stores, and online retailers such as Amazon are common places where a person can buy clothing and appliances.",0.95,0.857360713,5.712014657032641,department store,rivers flow trough valleys.,TRUE,Department store mentioned; correct
CoSE,,What is one of the largest areas with lizards in it?,The Sahara desert is one of the largest areas with lizards in it.,Amazon Rainforest,"The Amazon Rainforest is home to a diverse range of lizard species, including the Green Anaconda, the Giant Anteater, and the Giant Otter.",0.95,0.7820165259916274,4.600613281375072,south america,lizard is found in the warm areas and it is the largest place.,FALSE,Model says Sahara; gold is South America
CoSE,,"The woman was worried about environmental impact, what did she fret over while attempting to wash clothes?",She worried about the environmental impact of using too much water and energy while washing clothes.,water usage,The woman was concerned about the environmental impact of using water to wash clothes.,0.95,0.8481808104893056,4.696500033867069,use water,domestic water use is water,TRUE,Water usage aligns with use water
CoSE,,What part are the police likely to have in a killing?,The police are likely to investigate the killing and potentially arrest the perpetrator.,Police,Police are likely to be involved in a killing as they are responsible for maintaining law and order.,0.95,0.7925086806460124,4.416162328022282,investigation,rivers flow trough valleys.,TRUE,Investigate aligns with investigation
CoSE,,What is illegal to do when you play cards at a casino?,Cheating or marking cards.,Cheating,It is illegal to cheat at cards in a casino.,0.95,0.8093840768842986,4.839359254548044,count,counting cards is considered cheating,FALSE,Model says cheating; gold is count (card counting)
CoSE,,What happens when you take a shower after going for a run?,You feel refreshed and clean.,You get wet and clean your body,Taking a shower after going for a run helps to remove sweat and other substances from your body. It also helps to cool you down.,0.95,0.780152911,4.495120308615944,feeling refreshed,feeling refreshed and ready,TRUE,Refreshed matches feeling refreshed
CoSE,,What is our sun considered to be the center of?,Our sun is considered to be the center of our solar system.,solar system,The Sun is considered the center of the Solar System.,0.99,0.8089505090857997,5.076456532333836,solar system,the sun is in the middle of our system.,TRUE,Solar system matches gold answer
CoSE,,If two people have a common goal how can they accomplish that goal?,By working together and utilizing their individual strengths and skills.,By working together and communicating effectively.,"Two people with a common goal can accomplish that goal by collaborating and sharing ideas, resources, and efforts. Effective communication is also crucial to ensure that both individuals are on the same page and working towards the same objective.",0.95,0.8102321703183023,4.546750181599667,work together,synonyms for working together at thesaurus,TRUE,Working together matches gold
